Food Group,Food Category,Servings Low,Servings High,Serving Size,Calories,Protein,Fibre,Carbs,Sugar,Added Sugar,Total Fat,Unsaturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Saturated Fat,Trans Fat,Ultra-processed,Hydration,Salt
Nuts and Seeds,Shredded coconut,0,1,Two thumb-sized,70,0.7,2,3,1.5,0,6.5,0.5,0.3,0.1,6,0,false,0.1,5
Soups,Broth-based vegetable (minestrone; vegetable),1,2,Fist-sized bowl,80,3,3,15,4,0,1.5,1,0.5,0.5,0.3,0,false,0.9,480
Soups,Broth-based protein (chicken noodle; beef barley),1,2,Fist-sized bowl,120,8,1.5,14,2,0,3,1.8,1,0.8,1,0,false,0.85,890
Soups,Cream-based (cream of mushroom; clam chowder),0,1,Fist-sized bowl,200,5,1,15,3,0,13,5,4,1,6.5,0.3,false,0.75,870
Soups,Bean and lentil (split pea; lentil; black bean),1,2,Fist-sized bowl,180,11,8,28,3,0,2,1.5,0.5,1,0.3,0,false,0.8,650
Soups,Clear broths (chicken broth; beef broth; miso),0,2,Fist-sized bowl,15,2,0,1,0.5,0,0.5,0.3,0.1,0.2,0.1,0,false,0.95,860
Soups,Instant soups (cup noodles; packet soups),0,1,1 packet prepared,290,6,1.5,40,3,1,12,5,3,2,5,0.5,true,0.7,1500
Condiments,Vinaigrettes (balsamic; Italian; lemon),1,2,Thumb-sized,45,0,0,2,2,1,4,3.5,2,1.5,0.4,0,false,0.1,200
Condiments,Creamy dressings (ranch; Caesar; blue cheese),0,1,Thumb-sized,140,1,0,2,1.5,1,15,8,5,3,3,0.3,true,0.1,280
Condiments,Tomato-based (ketchup; marinara; salsa),1,2,Thumb-sized,20,0.5,0.5,5,3,2,0.1,0.08,0.02,0.06,0.02,0,false,0.2,180
Condiments,Mustard and hot sauce,0,2,Thumb tip,10,0.5,0.3,1.5,0.3,0,0.5,0.4,0.2,0.2,0.05,0,false,0.1,200
Condiments,Soy and Asian sauces (soy sauce; teriyaki; hoisin),0,2,Thumb tip,15,1.5,0,2.5,1.5,1,0,0,0,0,0,0,false,0.05,900
Condiments,Spreads (hummus; guacamole; pesto),1,2,Thumb-sized,70,2,1.5,4,0.5,0,5,4,2.5,1.5,0.7,0,false,0.2,150
Sweeteners,Natural sugars (white sugar; brown sugar; honey),0,2,Thumb tip,20,0,0,5,5,5,0,0,0,0,0,0,false,0,0
Sweeteners,Syrups (maple syrup; agave; molasses),0,1,Thumb-sized,60,0,0,16,14,14,0,0,0,0,0,0,false,0.05,5
Sweeteners,Jams and preserves,0,1,Thumb-sized,50,0.1,0.3,13,10,8,0,0,0,0,0,0,true,0.05,10
Sweeteners,Zero-calorie sweeteners (stevia; monk fruit),0,2,Pinch or packet,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0
Snacks,Light snacks (air-popped popcorn; rice cakes),1,2,Two fists or 2-3 cakes,80,2.5,2.5,16,0.5,0,1,0.7,0.2,0.5,0.15,0,false,0.1,80
Snacks,Whole grain crackers,0,2,Palm-sized portion,80,2,1.5,12,1,0.5,3,2,1,1,0.5,0,false,0.05,150
Snacks,Chips and crisps,0,1,Small handful,150,2,1,15,0.5,0,10,6,3,3,2,0,true,0,180
Snacks,Sweet snacks (cookies; chocolate; candy),0,1,Two fingers or small square,150,2,1,20,15,12,7,3,2,1,3.5,0.3,true,0,50
Snacks,Protein and granola bars,0,1,1 bar,200,10,3,25,12,8,7,4.5,2,2.5,2,0,true,0.05,150
Snacks,Frozen desserts (ice cream; frozen yogurt),0,1,Cupped hand,150,3,0.5,18,16,14,7,2.5,2,0.5,4.5,0.2,true,0.3,55
Beverages,Water and zero-calorie drinks,8,12,Small glass (fist-sized),0,0,0,0,0,0,0,0,0,0,0,0,false,1,5
Beverages,Coffee and tea (unsweetened),2,4,Small mug (fist-sized),2,0.3,0,0,0,0,0,0,0,0,0,0,false,0.95,5
Beverages,Milk-based drinks (lattes; hot chocolate),0,2,Small mug (fist-sized),180,8,1,24,20,15,6,2,1.5,0.5,3.5,0,false,0.7,150
Beverages,Fruit juices (orange; apple; grape),0,1,Small glass (fist-sized),110,1,0.5,26,22,0,0.3,0.2,0.05,0.15,0.05,0,false,0.9,5
Beverages,Soft drinks and energy drinks,0,1,1 can,140,0,0,39,39,39,0,0,0,0,0,0,true,0.9,45
Beverages,Alcoholic drinks (beer; wine; spirits),0,1,Half glass wine or small can beer,150,1,0,13,2,0,0,0,0,0,0,0,false,0.8,10
